"SimplexOptimizer","492","490","math006"
"SimplexOptimizer","506","504","math006"
"CMAESOptimizer","174","6","math018"
"CMAESOptimizer","180","12","math018"
"CMAESOptimizer","10","49","math020"
"Complex","14","19","math037"
"Complex","4","14","math037"
"Complex","15","13","math037"
"Complex","9","8","math037"
"BOBYQAOptimizer","1857","8","math038"
"BOBYQAOptimizer","1859","10","math038"
"BOBYQAOptimizer","1870","21","math038"
"EmbeddedRungeKuttaIntegrator","90","113","math039"
"SimplexTableau","76","79","math042"
"Complex","2","3","math053"
"EmbeddedRungeKuttaIntegrator","531","180","math071"
"RungeKuttaIntegrator","331","548","math071"
"SimplexTableau","23","33","math083"
"SimplexTableau","27","37","math083"
"SimplexTableau","37","51","math088"
"SimplexTableau","38","52","math088"
"SimplexTableau","39","53","math088"
"SimplexTableau","40","54","math088"
"SimplexTableau","41","55","math088"
"SimplexTableau","42","56","math088"
